N,PyTorch BF16 (GB/s),Triton FP8 (GB/s)
1024.000000,1098.446803,1385.540535
1536.000000,1438.001522,1722.554201
2048.000000,1653.795510,2074.597794
2560.000000,1888.798085,2136.464724
3072.000000,2057.468521,2360.341459
3584.000000,2165.858908,2587.431337
4096.000000,2214.711849,2765.516413
4608.000000,2271.745690,2496.962232
5120.000000,2260.858313,2698.287369
5632.000000,2326.248219,2907.019484
6144.000000,2361.402926,3054.734623
6656.000000,2350.523257,3105.205017
7168.000000,2338.095762,3266.245802
7680.000000,2344.404297,3421.869929
8192.000000,2317.431938,3531.802231
8704.000000,2349.675869,2377.159850
9216.000000,2358.841752,2442.430244
9728.000000,2357.133395,2539.085140
10240.000000,2358.538970,2691.282908
10752.000000,2356.708643,2800.621169
11264.000000,2358.205094,2886.161068
11776.000000,2371.654485,3000.882517
12288.000000,2382.522134,3119.238717
12800.000000,2388.991704,2745.817682
13312.000000,2406.140693,2769.975996
13824.000000,2407.521690,2824.075119
14336.000000,2419.835088,2870.458398
14848.000000,2422.523698,2914.117087
15360.000000,2403.393443,2971.242362
15872.000000,2398.964649,3027.813627
