size,Triton (GB/s),Torch (GB/s)
4096.000000,0.005297,0.005295
8192.000000,0.005369,0.005318
16384.000000,0.005344,0.005359
32768.000000,0.005398,0.005522
65536.000000,0.005554,0.005693
131072.000000,0.005718,0.005678
262144.000000,0.006038,0.006205
524288.000000,0.007122,0.007173
1048576.000000,0.008202,0.008329
2097152.000000,0.010844,0.010942
4194304.000000,0.017192,0.017280
8388608.000000,0.028459,0.028534
16777216.000000,0.050241,0.050358
33554432.000000,0.094297,0.094251
67108864.000000,0.181964,0.182085
134217728.000000,0.357843,0.357885
